Country name,Year,Log GDP per capita,Healthy life expectancy at birth,Perceptions of corruption,Confidence in national government,Democratic Quality,Delivery Quality
Mauritius,2017,0.6820052868942587,0.6571744562592859,0.8238428332426886,0.5786976693270544,0.8029488084917212,0.6488611550964266
Mexico,2017,0.6494082798475436,0.7235910798502625,0.8014866108567051,0.16774615227406175,0.4402675760368029,0.376141716156955
Moldova,2017,0.39971270643013135,0.5942536552030773,0.9637129664074178,0.025036256214221484,0.5060642859346663,0.34698868725635396
Mongolia,2017,0.5704766468475121,0.5173500981368445,0.8843311680963335,0.18854569650312078,0.7050655908177913,0.38877378303433036
Montenegro,2017,0.6380288742001149,0.7340780133255187,0.7430147895480971,0.27642035541377574,0.5647318046627612,0.4893738457170198
Mozambique,2017,0.08520842134142392,0.2062409813638573,0.647868895606116,0.7447745881245514,0.34305703363306816,0.23236023516163984
Myanmar,2017,0.41514395834846063,0.3984994737822143,0.5660223428902595,0.8193811704645323,0.2633954290250219,0.23842061327970948
Namibia,2017,0.5257847145984933,0.3111092499556884,0.84081413746809,0.7294025571120573,0.7179809819474868,0.5023042717213898
Nepal,2017,0.24369875417436357,0.5278370319616613,0.7617631825541782,0.5154068803298475,0.4155398222639945,0.26306013113013393
Netherlands,2017,0.8622733568297543,0.8704065492627528,0.23535371180263656,0.6417479767814375,0.904067825624393,0.9695912593437088
New Zealand,2017,0.8011795611431591,0.8983715275033143,0.05268695487393468,0.5722007869721439,1.0,0.9976786247738992
Nicaragua,2017,0.4048919302038937,0.6956261016097011,0.6360413143160712,0.5508439948636276,0.4345844401400372,0.27610465359569436
Niger,2017,0.04287401128557401,0.19924973689110714,0.7714404337196148,0.5631271988227619,0.2969959290651263,0.2861485068348711
Nigeria,2017,0.40555256176892457,0.06991217906122071,0.845455737526458,0.5145018492448193,0.21495397890900794,0.21272582984013028
Norway,2017,0.9223760069376171,0.9018670829735584,0.08867023997486168,0.69643861252712,0.9559824391055087,1.0
Pakistan,2017,0.3934246641471805,0.37752574001440303,0.6890192222544651,0.5129445287763076,0.09810892330385808,0.2858731028317696
Panama,2017,0.7012267783003565,0.776025214146178,0.8530666810965909,0.32173676604267437,0.6765196322037036,0.4571758122868695
Paraguay,2017,0.5096638075851369,0.6362008560237365,0.8131358204774509,0.31115385723284583,0.5558491392117114,0.3032057547997408
Peru,2017,0.577284743833608,0.7165999685602135,0.9236872923711092,0.16503746251642,0.5474515465748442,0.4171556705601633
Philippines,2017,0.47865598838488393,0.5068632981938501,0.6854463882515518,0.8349516409688248,0.37824363877287376,0.4020608621407595
Portugal,2017,0.7481896550908866,0.8704065492627528,0.9050468935982453,0.4482122084220456,0.8753356873169905,0.7467506553212035
Romania,2017,0.7107320909946888,0.685139434849408,0.9628390674400902,0.21529353842511006,0.6280019711176856,0.5088343609718354
Russia,2017,0.7232469692234181,0.5802711662575769,0.8799832576219259,0.5119819110180978,0.2900153892975528,0.31525490800700035
Rwanda,2017,0.1866232406476049,0.4614204083706848,0.042172477464942945,1.0,0.38863309774204,0.5419564419285451
Senegal,2017,0.24603949410497017,0.41597751854751946,0.8329757200677739,0.5741621768602936,0.5841948944589012,0.417481993071074
Serbia,2017,0.6058761052081135,0.7165999685602135,0.8668795542616331,0.45982655133450806,0.5765011912058298,0.4397984282191072
Sierra Leone,2017,0.12701112773940773,0.06641662324141588,0.8629228445103205,0.7198252696700145,0.5184303797309064,0.2312077959151951
Slovakia,2017,0.7640082842856034,0.7445646800858118,0.9560684138255628,0.2650817603815071,0.8074870141682503,0.6256202458188893
Slovenia,2017,0.7723885878998086,0.8214682371520445,0.8375704527033007,0.14801705706989232,0.8193597640601967,0.7027838926565436
South Africa,2017,0.578266608673324,0.3076135609531824,0.884110939059273,0.3588183697165606,0.5984325145740567,0.49693241718359427
South Korea,2017,0.800331756897359,0.9088584609785705,0.8658871003719348,0.28449917620395465,0.6937096157817895,0.7191267116238929
Spain,2017,0.7905048148800294,0.9368231725041688,0.7890399709177812,0.18225892790283846,0.7322227989959361,0.6955336875225351
Sri Lanka,2017,0.5674512865834587,0.6886349903196521,0.8575063218773489,0.4671697143511914,0.5271191932588494,0.4190208970614174
Sweden,2017,0.855663093118122,0.880893482738009,0.07529225485109899,0.5152729433803743,0.9138521768294263,0.9772070147660825
Switzerland,2017,0.8973077491186241,0.9263365057438756,0.1746353605869846,0.8142461812805036,0.9442456671945297,0.9869147426749666
Tajikistan,2017,0.27899712373940005,0.5767754772550708,0.6947207231314341,0.9407150512865575,0.19973285161821983,0.14047023311554244
Tanzania,2017,0.26313930439447464,0.33907409501354857,0.6110075097647707,0.921812394403323,0.4192146446916761,0.32236270014424445
Thailand,2017,0.6363616979609483,0.6886349903196521,0.9087277981361954,0.5676783036917918,0.28438231731459523,0.47639747061019744
Togo,2017,0.13281297589717947,0.2446926267142725,0.7040097816760255,0.42967517240222103,0.34832997158870577,0.24237214161523063
Trinidad and Tobago,2017,0.7542233962639097,0.5662886769625158,0.9443175313833783,0.18565359720650537,0.6665974177487963,0.4516768300715444
Tunisia,2017,0.5523708839895548,0.6746525010245911,0.8893419215316432,0.160708694798644,0.41888573720004724,0.42986306412730596
Turkey,2017,0.7262626545634125,0.6676613900841027,0.6333865489813609,0.5459455180649659,0.18331242550567983,0.4417319822476543
Uganda,2017,0.16836712787150285,0.27964871624488286,0.820726259550091,0.6251538760780149,0.3787958157202521,0.3217383061905458
Ukraine,2017,0.48654624918696626,0.5942536552030773,0.9772018568728086,0.0,0.2745009374490971,0.3127535734024417
United Kingdom,2017,0.8212180550847394,0.8669109934429481,0.30710032455017827,0.3781720354708173,0.7753927752296832,0.9067164812051836
United States,2017,0.8854923982085324,0.7375735691453235,0.6466821139140336,0.31661180831535013,0.740593906002418,0.8772462904465498
Uruguay,2017,0.6846276736939995,0.7550516139106287,0.5760585734255877,0.34705208217209627,0.8670045459313501,0.6605609694594766
Uzbekistan,2017,0.438292712020901,0.6117316999683824,0.36662900365735573,0.9808057094162203,0.2453827335670055,0.1925127305717062
Venezuela,2017,0.5828953722889658,0.664165834264298,0.8571949031129322,0.14956092261159198,0.1996305713023071,0.0
Zambia,2017,0.32905239191906155,0.2621706714795777,0.722142506937827,0.6962597568926786,0.5120514371868969,0.3342069027049671
Zimbabwe,2017,0.19164915314668418,0.26916191595232786,0.7372313469829754,0.6567894797967554,0.25953867988116947,0.10467653751187556
