Country name,Year,Log GDP per capita,Healthy life expectancy at birth,Perceptions of corruption,Confidence in national government,Democratic Quality,Delivery Quality,Cluster
Luxembourg,2017,1.0,0.8843890382082532,0.1927280791234662,0.7214394932665019,0.9577215860942028,0.9363986577000885,0
Macedonia,2017,0.5915755871623464,0.6991219237949083,0.8723622150533114,0.3813836720469854,0.4887626075404537,0.4705800693488727,3
Madagascar,2017,0.1308673118590276,0.3984994737822143,0.8614517001618034,0.4951160350383847,0.4475986417779782,0.215369387426168,5
Malawi,2017,0.0775874673877506,0.3355785395433044,0.7158003617564976,0.5852020166849041,0.5013760858257328,0.301729880263438,5
Mali,2017,0.2037684619235358,0.1363288023026366,0.8813605132278698,0.4524995487050738,0.2320842385201187,0.2697322767660241,5
Malta,2017,0.8036175397331775,0.8704065492627528,0.6587135801326988,0.736469560972608,0.8967080388543037,0.7416355524177072,4
Mauritania,2017,0.3238461188529947,0.3285872947209936,0.7709930399394039,0.2081345730348143,0.3400056314420891,0.2748086750994208,5
Mauritius,2017,0.6820052868942587,0.6571744562592859,0.8238428332426886,0.5786976693270544,0.8029488084917212,0.6488611550964266,4
Mexico,2017,0.6494082798475436,0.7235910798502625,0.8014866108567051,0.1677461522740617,0.4402675760368029,0.376141716156955,3
Moldova,2017,0.3997127064301313,0.5942536552030773,0.9637129664074178,0.0250362562142214,0.5060642859346663,0.3469886872563539,3
Mongolia,2017,0.5704766468475121,0.5173500981368445,0.8843311680963335,0.1885456965031207,0.7050655908177913,0.3887737830343303,3
Montenegro,2017,0.6380288742001149,0.7340780133255187,0.7430147895480971,0.2764203554137757,0.5647318046627612,0.4893738457170198,3
Mozambique,2017,0.0852084213414239,0.2062409813638573,0.647868895606116,0.7447745881245514,0.3430570336330681,0.2323602351616398,5
Myanmar,2017,0.4151439583484606,0.3984994737822143,0.5660223428902595,0.8193811704645323,0.2633954290250219,0.2384206132797094,2
Namibia,2017,0.5257847145984933,0.3111092499556884,0.84081413746809,0.7294025571120573,0.7179809819474868,0.5023042717213898,1
